timestamp,Acc_y,Acc_z,State
1670971143.50602,8.1236,1.0009,1
1670971146.507512,8.1236,1.0009,1
1670971149.509089,8.1236,1.0009,1
1670971152.516785,8.1236,1.0009,1
1670971171.766678,8.1236,1.0009,1
1670971174.774416,8.1236,1.0009,1
1670971177.776914,8.1236,1.0009,1
1670971180.779118,8.1236,1.0009,1
1670971183.781541,8.1236,1.0009,1
1670971186.785589,8.1236,1.0009,1
1670971189.787867,8.1236,1.0009,1
1670971192.790774,8.1236,1.0009,1
1670971349.992047,8.1236,1.0009,1
1670971353.001698,8.1236,1.0009,1
1670971356.003265,8.1236,1.0009,1
1670971359.008455,8.1236,1.0009,1
1670971362.016229,8.1236,1.0009,1
1670971368.025776,8.1236,1.0009,1
1670971371.026036,8.1236,1.0009,1
